Longitude,Latitude
-0.186839,51.478256
-0.18162,51.476952
-0.185773,51.472448
-0.184434,51.472814
-0.187608,51.467373
-0.186096,51.470106
-0.187608,51.467373
-0.187097,51.471012
-0.187097,51.471012
-0.187608,51.467373
-0.182824,51.473455
-0.182824,51.473455
-0.182824,51.473455
-0.182824,51.473455
-0.184268,51.469017
-0.183885,51.471043
-0.184444,51.468201
-0.2206,51.474526
-0.218921,51.472048
-0.210226,51.469785
-0.211164,51.469358
-0.211164,51.469358
-0.207934,51.467645
-0.19892,51.468056
-0.203912,51.47146
-0.209933,51.470661
-0.210636,51.472192
-0.210636,51.472192
-0.196884,51.47074
-0.199611,51.472796
-0.195744,51.466793
-0.192743,51.465515
-0.192743,51.465515
-0.191388,51.471366
-0.196374,51.469078
-0.196374,51.469078
-0.191549,51.470208
-0.190533,51.468241
-0.190727,51.466976
-0.190533,51.468241
-0.190533,51.468241
-0.190533,51.468241
